"Theme","Index","Article","Author","Venue","Date","Method","Dataset","Metric","Novelty","Result","Link","Code","Baselines","Models","Others","Evaluation Methods","Pillar","Command_freeform","Real_time","Multi_agent","Budget_aware","Executor_type"
"2. Action models / LLM-steered actions","11","OpenVLA: An Open-Source Vision-Language-Action Model","Moo Jin Kim et al. (Stanford)","CoRL 2024","2024-06-13","7B VLA = Llama 2 + fused DINOv2/SigLIP; predicts discretized action tokens autoregressively; LoRA fine-tuning","Open X-Embodiment; 970k real robot demos","Task success across 29 tasks / embodiments","Open, efficiently fine-tunable token-as-action VLA beating much larger closed models with 7x fewer params","+16.5% abs success over RT-2-X (55B) on 29 tasks; +20.4% over Diffusion Policy; 7x fewer params","https://arxiv.org/abs/2406.09246","— (openvla.github.io; HF checkpoints)","RT-2-X (55B); Diffusion Policy","Llama 2 + DINOv2 + SigLIP","Open reference token-emitting LLM controller; recipe transfers to a game action space","Multi-embodiment real-robot success across 29 tasks","Executor","yes","no","no","yes","robot"
"2. Action models / LLM-steered actions","12","Octo: An Open-Source Generalist Robot Policy","Octo Model Team (Dibya Ghosh et al.)","RSS 2024","2024-05-20","Transformer diffusion policy conditioned on language OR goal images; flexible task/observation tokens; finetunes to new sensors/actions","Open X-Embodiment (800k trajectories)","Success across 9 platforms","Open generalist policy with a DIFFUSION action head (not token-as-action) + modular conditioning","Evaluated on 9 platforms; finetunes in hours on consumer GPUs (no numeric scores on abstract)","https://arxiv.org/abs/2405.12213","— (octo-models.github.io)","—","Transformer + diffusion action decoder","Contrast point: continuous/diffusion action head vs token-as-action for the executor","Real-robot finetune + success on 9 platforms; ablations","Executor","yes","no","no","no","robot"
"2. Action models / LLM-steered actions","13","pi0: A Vision-Language-Action Flow Model for General Robot Control","Kevin Black et al. (Physical Intelligence)","RSS 2025","2024-10-31","Flow-matching 'action expert' on a pretrained VLM; iteratively denoises action chunks into continuous high-frequency (up to 50 Hz) actions","Large multi-platform robot dataset","Zero-shot / instruction-following / post-finetune success","Flow-matching action expert on a VLM: continuous high-frequency control keeping internet-scale semantics","Demonstrates laundry folding, table bussing, box assembly; beats baselines (numbers not on abstract)","https://arxiv.org/abs/2410.24164","— (physicalintelligence.company)","—","PaliGemma-based VLM + flow-matching expert","The 'action expert bolted to an LLM/VLM' pattern; real-time execution under latency","Real-robot zero-shot + finetuned dexterous tasks","Executor","yes","yes","no","no","robot"
"2. Action models / LLM-steered actions","14","FAST: Efficient Action Tokenization for Vision-Language-Action Models","Karl Pertsch et al. (Physical Intelligence)","RSS 2025","2025-01-16","Compress action chunks with a DCT then byte-pair-encode them (frequency-space tokenization); release universal tokenizer FAST+","10,000 h robot data; FAST+ on 1M trajectories","Training time; success vs diffusion VLAs","Frequency-space action tokenization fixes lossy per-dim/per-step binning, letting AR VLAs match diffusion VLAs","Trains up to 5x faster than diffusion VLAs while matching performance at scale","https://arxiv.org/abs/2501.09747","— (pi.website/research/fast)","Diffusion VLAs; naive binning tokenizers","pi0 backbone","Directly about HOW to discretize a continuous action space into LLM tokens — key for a token-emitting commander","Training-efficiency + success vs diffusion VLAs","Executor","na","na","no","yes","robot"
"2. Action models / LLM-steered actions","15","Fast-in-Slow: A Dual-System Foundation Model Unifying Fast Manipulation within Slow Reasoning","Hao Chen et al.","arXiv (under review)","2025-06-02","Embed a fast System-1 executor inside a VLM System-2 reasoner via partial parameter sharing; asynchronous frequencies (1:4), dual-aware co-training","—","Avg success rate; control freq (Hz)","Single model unifying slow reasoning + fast control (vs two models); executor reuses the LLM's latent conditions","117.7 Hz on RTX 4090 (chunk 8); +8% sim and +11% real success over prior SOTA","https://arxiv.org/abs/2506.01953","—","Prior dual-system / VLA methods","Shared-parameter VLM (System-1/2)","Dual-system fast/slow = the latency-vs-reasoning trade-off central to real-time crowd command","Sim + real manipulation success + control-frequency benchmarking","Executor","yes","yes","no","yes","robot"
"2. Action models / LLM-steered actions","16","CombatVLA: An Efficient VLA Model for Combat Tasks in 3D Action Role-Playing Games","Peng Chen et al.","ICCV 2025","2025-03-12","3B VLA trained on video-action pairs as 'action-of-thought' (AoT) sequences; truncated-AoT for fast inference in real-time combat","Video-action pairs (action tracker) + a combat-understanding benchmark","Combat-understanding score; success; inference speed","VLA specialized for real-time game combat via action-of-thought reasoning + truncation for second-level latency","50x acceleration; success exceeding human players; outperforms all existing models on the combat benchmark","https://arxiv.org/abs/2503.09527","—","'All existing models' (not named)","3B VLA (backbone unspecified)","Closest prior art — a VLA acting in a real-time game under latency (single-agent, not crowd command)","Combat-understanding benchmark + in-game success + speed","Executor","na","yes","no","yes","game-units"
"2. Action models / LLM-steered actions","17","Divide and Conquer: Grounding LLMs as Efficient Decision-Making Agents via Offline Hierarchical RL (GLIDER)","Zican Hu et al.","ICML 2025","2025-05-26","Two-layer hierarchy: high-level LLM emits chain-of-thought sub-task goals; low-level controller executes primitives; trained with offline hierarchical RL","ScienceWorld; ALFWorld","Task success / generalization","Grounds an LLM as a high-level decision-maker by decomposing into coherent sub-tasks supervising a low-level controller","— (consistent gains; no numbers on abstract)","https://arxiv.org/abs/2505.19761","—","—","LLMs (backbone unspecified)","Hierarchical LLM-sets-goals / policy-executes -> maps to a commander LLM steering unit policies","Agent benchmarks (ScienceWorld, ALFWorld)","Executor","na","no","no","no","other"
"3. Language-conditioned RL","18","BabyAI: A Platform to Study the Sample Efficiency of Grounded Language Learning","Maxime Chevalier-Boisvert, Dzmitry Bahdanau et al. (Mila)","ICLR 2019","2018-10-18","Gridworld + heuristic bot expert for instruction-following RL/IL; agent gets state + synthetic-language instruction","BabyAI platform — 19 levels, compositional English subset","Sample efficiency (demos/steps to threshold)","Controlled, extensible benchmark for the sample efficiency of grounded language learning, with a built-in expert","— (shows deep methods not yet sample-efficient; numbers not in abstract)","https://arxiv.org/abs/1810.08272","https://github.com/mila-iqia/babyai","— (RL + IL baselines)","CNN + GRU / FiLM instruction conditioning","Canonical testbed for the concrete-order side of NL command following; close to a command-arena warm-up","Per-level success vs amount of supervision; curriculum","Dataset","no","no","no","no","other"
"3. Language-conditioned RL","19","Language as an Abstraction for Hierarchical Deep Reinforcement Learning","Yiding Jiang et al. (Stanford / Google Brain; Chelsea Finn)","NeurIPS 2019","2019-06-18","High-level policy issues NL instructions as subgoals to a language-conditioned low-level policy; language's compositionality is the abstraction layer","Custom MuJoCo + CLEVR object-interaction (from pixels)","Task success; compositional generalization","SEMINAL: language as a compositional abstraction between high- and low-level policies -> combinatorial generalization","— (superior systematic generalization vs non-compositional; no single number)","https://arxiv.org/abs/1906.07343","—","Non-compositional abstraction, equal supervision","Neural high-/low-level policies","Seminal grounding for the two-tier design: abstract command on top, unit policies below","Task-performance + compositional-generalization study","Executor","yes","no","no","no","other"
"3. Language-conditioned RL","20","Grounding Large Language Models in Interactive Environments with Online RL (GLAM)","Thomas Carta, Clement Romac et al. (Inria Flowers / HF; Oudeyer)","ICML 2023","2023-02-06","Use an LLM directly as the action policy; update it with online RL (PPO) through environment interaction to functionally ground its knowledge","BabyAI-Text (textual BabyAI) — spatial / navigation","Sample efficiency; generalization","An LLM can be turned into a grounded interactive agent via online RL, improving sample efficiency + generalization","— (positive results; no numbers in abstract)","https://arxiv.org/abs/2302.02662","https://github.com/flowersteam/Grounding_LLMs_with_online_RL","Non-grounded LLM use; non-pretrained RL","FLAN-T5 (multiple sizes)","On-point recipe to make an LLM command-follower learn by acting — template for LLM-as-commander policy","Online RL in textual env; sample efficiency + generalization","Executor","no","no","no","no","other"
"3. Language-conditioned RL","21","Eureka: Human-Level Reward Design via Coding Large Language Models","Yecheng Jason Ma et al. (UPenn / NVIDIA)","ICLR 2024","2023-10-19","GPT-4 evolutionary search over executable reward-function code from env source + task description, with reflective improvement","29 RL envs, 10 robot morphologies (Isaac Gym); Shadow Hand pen-spinning","% tasks beating human rewards; normalized improvement","LLMs can author reward functions surpassing human experts; gradient-free in-context RLHF folds in NL feedback","Outperforms human-designed rewards on 83% of tasks; ~52% avg normalized improvement","https://arxiv.org/abs/2310.12931","https://github.com/eureka-research/Eureka","Human expert-engineered rewards","GPT-4","Route from abstract language intent ('be aggressive') to executable reward signals","Train RL on generated rewards; compare to human rewards across 29 tasks","Executor","no","no","no","no","reward"
"3. Language-conditioned RL","22","Text2Reward: Reward Shaping with Language Models for RL","Tianbao Xie, Siheng Zhao et al. (HKU / XLANG)","ICLR 2024 (Spotlight)","2023-09-20","Data-free: prompt an LLM to generate dense interpretable reward code over a compact env representation, with iterative human-feedback refinement","ManiSkill2, MetaWorld, MuJoCo — 17 tasks","Success rate; convergence; real-robot","Generates interpretable DENSE shaped rewards (not sparse) from language, refinable via human feedback, sim-to-real","Matches/beats human-oracle reward on 13/17 manipulation tasks; 6 novel locomotion behaviours at >94% success","https://arxiv.org/abs/2309.11489","https://github.com/xlang-ai/text2reward","Human-oracle reward code","LLM (GPT-4)","Language -> dense reward with human-in-the-loop; coach-mode intent shaping behaviour","Train RL (PPO/SAC) on generated rewards; success vs oracle; sim-to-real","Executor","no","no","no","no","reward"
"3. Language-conditioned RL","23","Benchmarking the Spectrum of Agent Capabilities (Crafter)","Danijar Hafner (Toronto / Google Brain)","ICLR 2022","2021-09-14","Crafter: a fast procedurally-generated 2D open-world survival game scoring 22 semantic achievements in one env","Crafter (open-world survival, visual)","Crafter 'score' (achievement-unlock rates); reward","Consolidates many general abilities (exploration, long-horizon, generalization) into one efficient benchmark","— (baseline scores for reward + unsupervised agents; numbers not in abstract)","https://arxiv.org/abs/2109.06780","https://github.com/danijar/crafter","PPO/Rainbow; unsupervised agents","Deep RL (CNN)","Lightweight open-ended RL benchmark on the complexity ladder; prototyping before SC2","Train within a step budget; achievement-based score","Dataset","no","no","no","no","other"
"3. Language-conditioned RL","24","Language Grounded Multi-agent RL with Human-interpretable Communication (LangGround)","Huao Li et al. (Univ. Pittsburgh; Honda RI; CMU - Katia Sycara)","NeurIPS 2024","2024-09-25","Align MARL agents' learned communication with a human-language embedding space by grounding messages on synthetic data from embodied LLM agents","— (multi-agent cooperative teamwork)","Task performance; comm emergence; zero-shot teammates","Makes emergent MARL communication human-interpretable while accelerating emergence + ad-hoc teamwork","— (improves interpretability + zero-shot ad-hoc teamwork; no numbers in abstract)","https://arxiv.org/abs/2409.17348","https://github.com/romanlee6/langground","Standard emergent-comm MARL","MARL + comm; embodied LLMs for grounding","Multi-agent coordination via human language — the 'command crowds' core, interpretable for a human commander","Train language-grounded MARL; compare to emergent-comm; zero-shot unseen teammates","Coordination","na","no","yes","no","other"
"3. Language-conditioned RL","25","Towards Language-Augmented Multi-Agent Deep RL","Maxime Toquebiau, Nicolas Bredeche (Sorbonne / ISIR)","ECAI 2025","2025-06-05","Train MARL agents to act AND produce/interpret human-defined NL descriptions of observations; language grounding for comm + representation learning","— (cooperative multi-agent tasks)","Task performance; representation quality; partner generalization","Human-defined language as a grounding signal that doubles as a comm protocol + representation objective","— (outperforms emergent-comm baselines; no numbers in abstract)","https://arxiv.org/abs/2506.05236","—","Emergent-communication MARL","MARL actors + language production/interpretation heads","Recent multi-agent+language recipe; grounding crowd-level comm in human command vocab","Compare to emergent-comm on performance, partner generalization, human-agent interaction","Coordination","na","no","yes","no","other"
"3. Language-conditioned RL","26","Improving Multimodal Interactive Agents with RL from Human Feedback","Josh Abramson, Arun Ahuja et al. (DeepMind Interactive Agents)","arXiv (DeepMind)","2022-11-21","RLHF for embodied, language-instructable agents in a 3D world; an Inter-temporal Bradley-Terry (IBT) reward model captures moment-to-moment progress","Simulated 3D 'Playhouse' with language-instructed tasks","Automated metrics + human judgment","RLHF (with a temporal reward model) for multimodal language-conditioned embodied agents, no programmatic rewards","— (improved on all metrics vs imitation; no numbers in abstract)","https://arxiv.org/abs/2211.11602","—","Imitation (behavioural-cloning) agents","Multimodal agent + IBT reward model","RLHF-for-control: shaping a language-instructed agent from human preference; coach-mode feedback","Reward model from human progress annotations; RL-optimize; live human judgment","Executor","yes","no","no","no","other"
"4. Datasets (command / coaching)","27","TextStarCraft II: Large Language Models Play StarCraft II (Chain of Summarization)","Weiyu Ma et al.","NeurIPS 2024 (per refs; arXiv)","2023-12-19","Text wrapper on SC2 (python-sc2): Observation-to-Text + Text-to-Action adapters; LLM agents play full games vs built-in AI","Interactive SC2 env + 5 knowledge-probe categories; text in/out","Win rate vs built-in AI (6 levels); human strategy assessment","First benchmark of LLMs as real-time SC2 commanders via pure NL; Chain-of-Summarization for long-horizon observation compression","GPT-3.5-16k vs Zerg AI: VeryEasy 8/8, Easy 9/9, Medium 8/8, Hard 21/25, Harder 7/14, VeryHard 0/12","https://arxiv.org/abs/2312.11865","https://github.com/histmeisah/Large-Language-Models-play-StarCraftII","Prompt variants + Chain-of-Summarization","GPT-3.5/4, ChatGLM2-6B, Llama2-7B, Claude2, Bard","CLOSEST analogue: free-form text commands -> SC2 macro actions at game speed; adapter design is a direct reference","Win-rate vs built-in AI per difficulty; human knowledge eval","Dataset","yes","yes","yes","no","game-units"
"4. Datasets (command / coaching)","28","TacticCraft: Natural Language-Driven Tactical Adaptation for StarCraft II","Weiyu Ma","arXiv","2025-07-21","Adapter modules on each action head conditioned on a 'tactical tensor' of strategic preferences; KL constraints preserve base competence","— (method, not a sized corpus)","— (qualitative behaviour modulation)","Targets ABSTRACT tactical intent ('be aggressive', 'expand', 'tech up') -> coach-mode steering of a frozen SC2 policy","—","https://arxiv.org/abs/2507.15618","—","—","SC2 RL agent + per-action-head adapters","Maps directly onto our 'abstract intent / focus on defense' for a crowd-controlling SC2 policy","Behavioural eval across tactical dimensions while checking skill retention","Command","yes","yes","yes","no","game-units"
"4. Datasets (command / coaching)","29","SC2EGSet: StarCraft II Esport Replay and Game-state Dataset","Andrzej Bialecki et al.","Scientific Data (Nature) 2023","2022-07-07","Parse 55 tournament replaypacks (since 2016) into cleaned per-game game-state; open PyTorch / Lightning loaders","55 replaypacks -> 17,930 game-state files (replay + structured state); no language channel","— (resource paper)","Large, fully parsed, public SC2 esport dataset aligned to game state, with reproducible ML tooling","—","https://arxiv.org/abs/2207.03428","https://github.com/Kaszanas/SC2EGSet_Dataset","—","— (model-agnostic; ships loaders)","Canonical SC2 replay/state substrate to LAYER language commands/commentary onto","— (provides loaders, not a scored task)","Dataset","no","na","yes","no","na"
"4. Datasets (command / coaching)","30","Game-MUG: Multimodal Game Situation Understanding and Commentary Generation Dataset","Zhihao Zhang et al.","arXiv","2024-04-30","Collect LoL live streams (2020-2022) pairing match event logs, caster transcripts, and audience chat; joint multimodal dual-learning model","70k clips + transcripts; 3.7M audience chats; 45 streams; 216 matches; 15k events; 3 leagues","Commentary quality (BLEU/ROUGE family); situation/event accuracy","Aligns caster commentary AND live audience chat to discrete in-game events on a shared timeline","— (numbers not on abstract; PDF unparseable)","https://arxiv.org/abs/2404.19175","—","Joint multimodal dual-learning model","Multimodal (event-log + audio + text)","Coaching/commentary analogue: NL time-aligned to game events (MOBA)","Game-situation/event understanding + commentary generation","Dataset","na","no","yes","no","na"
"4. Datasets (command / coaching)","31","LoL-V2T: Large-Scale Esports Video Description Dataset","Tsunehiko Tanaka, Edgar Simo-Serra (Waseda)","CVPR 2021 Workshops (CVSports)","2021-06","LoL Worlds footage (157 matches) segmented into clips, paired with captions from manual + ASR subtitles","9,723 clips; 62,677 captions; 157 LoL Worlds matches; video + EN captions","Video-captioning metrics (BLEU/METEOR/CIDEr)","Largest video-game video-description dataset at release; jargon-heavy vocab + event-to-commentary temporal lag","— (no SOTA numbers on page)","https://tsunehiko.github.io/lol-v2t/","https://github.com/Tsunehiko/lol-v2t","— (existing video captioners)","Standard video-captioning models","Gameplay video -> NL; the event-to-caption LAG is the same alignment problem we face","Video-captioning eval on held-out captions; splits provided","Dataset","na","no","yes","no","na"
"4. Datasets (command / coaching)","32","SCBench: A Sports Commentary Benchmark for Video LLMs","Kuangzhi Ge et al. (Peking Univ.)","arXiv","2024-12","Short clips across 6 sports, each with professional EN commentary + 6 semantic dimension labels; GPT-based multi-dimensional scoring","5,775 clips (4,908 train / 867 test); 6 sports; avg 14.5 s; video + timestamped commentary","SCORES: 6 dims incl. Tactical Analysis, Match-Situation Interpretation","First benchmark to evaluate Video LLMs on professional sports commentary, with an explicit TACTICAL-ANALYSIS dimension","— (relative model rankings; no single SOTA number)","https://arxiv.org/abs/2412.17637","—","8 zero-shot Video LLMs (VILA, Video-LLaVA, LongVA, LLaVA-NeXT-Video, Kangaroo, Chat-UniVi-1.5, InternVL-Chat-2, Mini-InternVL)","Same 8 Video LLMs","'Tactical Analysis' / 'Match Situation' dims = coach-mode language; a template for scoring commentary outputs","GPT-based scoring on 6 SCORES dimensions vs ground-truth","Dataset","na","no","na","no","na"
"4. Datasets (command / coaching)","33","GOAL: Knowledge-grounded Video Captioning for Real-time Soccer Commentary Generation","Ji Qi et al. (THU-KEG, Tsinghua)","ACM CIKM 2023","2023-03","Knowledge-Grounded Video Captioning from soccer broadcast clips, pairing each clip with commentary + a background knowledge base of triples","8,900+ soccer clips; 22k sentences; 42k knowledge triples; video + text + triples","Video-captioning metrics (BLEU/METEOR/ROUGE/CIDEr)","Knowledge-grounded commentary: caption must reason over an external knowledge graph, not just describe pixels; targets real-time","— (per-model numbers not extracted)","https://arxiv.org/abs/2303.14655","https://github.com/THU-KEG/goal","KG-grounded vs standard captioners","Multimodal captioners adapted for KGVC","Knowledge-grounding matches our need to tie language to domain facts (unit/ability/map knowledge)","Caption-quality vs ground-truth with knowledge triples","Dataset","na","yes","yes","no","na"
"4. Datasets (command / coaching)","34","VC_NBA_2022: Knowledge Guided Entity-aware Video Captioning (Basketball Benchmark)","Zeyu Xi et al.","arXiv (later Neurocomputing)","2024-01-25","Build a basketball knowledge graph (KG_NBA_2022), then a captioning dataset; an entity-aware captioner conditions on a candidate-player list","9 fine-grained shooting-event types; 286 players' knowledge; video + entity knowledge + captions","Video-captioning metrics (list not on abstract)","Entity-aware sports commentary: text must name the correct specific players + fine-grained actions","— (outperforms advanced captioners; specific numbers not on abstract)","https://arxiv.org/abs/2401.13888","—","Advanced video captioners (not named)","KEANet / Entity-Aware Captioner","Entity-aware generation parallels referring to specific units/groups when commanding/narrating a crowd","Entity-aware captioning vs ground-truth; player-identity correctness","Dataset","na","no","yes","no","na"
"4. Datasets (command / coaching)","35","MineDojo: Building Open-Ended Embodied Agents with Internet-Scale Knowledge","Jim Fan, Guanzhi Wang et al. (NVIDIA / Caltech / Stanford)","NeurIPS 2022 D&B (Outstanding Paper)","2022-06","Minecraft agent framework + internet knowledge; MineCLIP (video-text contrastive on time-aligned YouTube narration) is a learned language-conditioned reward","730k+ narrated YouTube videos (2.2B words); ~7k wiki; 340k Reddit; 1000s language-prompted tasks","Task success; MineCLIP-reward correlation","Internet-scale time-aligned language<->video grounding -> follow free-form NL tasks without hand-designed dense rewards","— (MineCLIP-reward agents solve diverse tasks; rates not extracted)","https://arxiv.org/abs/2206.08853","https://github.com/MineDojo/MineDojo","Manually-shaped reward vs learned MineCLIP reward","MineCLIP + RL agents","Strongest large-scale precedent for grounding free-form language via time-aligned text; model for mining language<->action pairs from replays+commentary","Programmatic + learned-reward eval on the language-prompted task suite","Dataset","yes","no","no","no","game-units"
"4. Datasets (command / coaching)","36","IGLU / IDAT: Interactive Grounded Language Understanding in a Collaborative Environment","Julia Kiseleva et al. (comp.); Shrestha Mohanty et al. (IDAT) (Microsoft Research)","NeurIPS 2021/2022 Competition; IDAT arXiv 2024","2021-10-13","Architect issues NL building instructions (with clarification questions); Builder executes block placements; each instruction logged with action states","Full set: 8,136 instruction-action pairs; 1,056 clarification cases (~9,000 utterances); 11x11x9 voxel; 230 annotators","Structure-completion success; human-in-the-loop eval","Pairs NL instructions (+ clarification dialogue) with grounded DISCRETE construction actions, incl. ambiguous/abstract intent","— (competition; scores vary by entrant)","https://arxiv.org/abs/2110.06536","https://www.iglu-contest.net/","Competition baseline agents","Instruction-following / clarification agents","Closest 'NL -> discrete agent actions' with ambiguous-intent clarification; architect/builder mirrors commander/crowd","Human-in-the-loop + automatic structure-match; instruction<->block-placement logs","Dataset","yes","no","no","no","other"
"4. Datasets (command / coaching)","37","CrafText: Instruction-following Benchmark over Crafter (partially verified)","(authors not confirmed)","arXiv","2025","NL-instruction tasks over the Crafter env across Localization / Conditional / Building / Achievement task types","~3,924 NL instructions over Crafter (size confirmed from abstract; metrics/baselines NOT verified)","— (not confirmed)","Synthetic instruction->action benchmark complementing BabyAI/Crafter with richer language","—","https://arxiv.org/abs/2505.11962","—","— (not confirmed)","—","Synthetic command->action complement; FLAGGED partially verified — re-check metrics/baselines before citing","— (not confirmed)","Dataset","yes","no","no","no","other"
